team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.751,2.09,-2.0,1.917,2.0,1.9,231.5,1.847,231.5,1.98,2025-10-10 21:48:30
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.456,2.73,-5.0,1.847,5.0,1.97,219.5,1.9,219.5,1.917,2025-10-10 21:48:30
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.613,2.38,-3.5,1.943,3.5,1.909,231.0,1.943,231.0,1.909,2025-10-10 21:54:44
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.456,2.73,-5.0,1.847,5.0,1.97,219.5,1.9,219.5,1.917,2025-10-10 21:54:44
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.06,1.371,6.5,1.97,-6.5,1.847,232.5,1.892,232.5,1.925,2025-10-10 22:01:21
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.23,1.666,3.0,1.892,-3.0,1.925,229.5,1.847,229.5,1.97,2025-10-10 22:01:21
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.934,230.5,1.917,2025-10-10 22:23:13
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.13,1.378,6.5,1.99,-6.5,1.862,232.5,1.934,232.5,1.917,2025-10-10 22:23:13
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.13,1.378,6.5,1.99,-6.5,1.862,232.5,1.934,232.5,1.917,2025-10-10 22:31:09
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.934,230.5,1.917,2025-10-10 22:31:09
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.15,1.374,6.5,2.01,-6.5,1.847,232.5,1.925,232.5,1.925,2025-10-10 22:42:46
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.917,230.5,1.934,2025-10-10 22:42:46
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.11,1.384,6.5,1.99,-6.5,1.862,232.5,1.98,232.5,1.877,2025-10-10 22:55:32
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.917,230.5,1.934,2025-10-10 22:55:32
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.11,1.384,6.5,1.99,-6.5,1.862,232.5,1.98,232.5,1.877,2025-10-10 23:01:48
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.917,230.5,1.934,2025-10-10 23:01:48
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.917,230.5,1.934,2025-10-10 23:23:03
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.12,1.381,6.5,2.0,-6.5,1.862,232.5,1.952,232.5,1.9,2025-10-10 23:23:03
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.12,1.381,6.5,2.0,-6.5,1.862,232.5,1.952,232.5,1.9,2025-10-10 23:30:47
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.917,230.5,1.934,2025-10-10 23:30:47
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.12,1.381,6.5,2.0,-6.5,1.862,232.5,1.952,232.5,1.9,2025-10-10 23:41:17
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.917,230.5,1.934,2025-10-10 23:41:17
Utah Jazz,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-san-antonio-spurs/1617108703/,3.11,1.381,6.5,1.99,-6.5,1.862,232.5,1.909,232.5,1.943,2025-10-10 23:55:08
Sacramento Kings,Portland Trail Blazers,https://www.pinnacle.com/en/basketball/nba-preseason/sacramento-kings-vs-portland-trail-blazers/1617053919/,2.25,1.68,3.0,1.909,-3.0,1.943,230.5,1.917,230.5,1.934,2025-10-10 23:55:08
Oklahoma City Thunder,Indiana Pacers,https://www.pinnacle.com/en/basketball/nba-preseason/oklahoma-city-thunder-vs-indiana-pacers/1617155567/,1.543,2.54,-5.0,1.961,5.0,1.892,235.5,1.943,235.5,1.909,2025-10-11 18:30:30
Oklahoma City Thunder,Indiana Pacers,https://www.pinnacle.com/en/basketball/nba-preseason/oklahoma-city-thunder-vs-indiana-pacers/1617155567/,1.512,2.62,-5.0,1.9,5.0,1.952,235.5,1.917,235.5,1.934,2025-10-11 18:46:12
Oklahoma City Thunder,Indiana Pacers,https://www.pinnacle.com/en/basketball/nba-preseason/oklahoma-city-thunder-vs-indiana-pacers/1617155567/,1.512,2.63,-5.0,1.9,5.0,1.952,235.5,1.917,235.5,1.934,2025-10-11 18:59:15
Oklahoma City Thunder,Indiana Pacers,https://www.pinnacle.com/en/basketball/nba-preseason/oklahoma-city-thunder-vs-indiana-pacers/1617155567/,1.512,2.63,-5.0,1.9,5.0,1.952,235.5,1.917,235.5,1.934,2025-10-11 19:20:04
Oklahoma City Thunder,Indiana Pacers,https://www.pinnacle.com/en/basketball/nba-preseason/oklahoma-city-thunder-vs-indiana-pacers/1617155567/,1.512,2.63,-5.0,1.9,5.0,1.952,235.5,1.917,235.5,1.934,2025-10-11 19:28:42
Oklahoma City Thunder,Indiana Pacers,https://www.pinnacle.com/en/basketball/nba-preseason/oklahoma-city-thunder-vs-indiana-pacers/1617155567/,1.512,2.63,-5.0,1.9,5.0,1.952,235.5,1.917,235.5,1.934,2025-10-11 19:40:10
Oklahoma City Thunder,Indiana Pacers,https://www.pinnacle.com/en/basketball/nba-preseason/oklahoma-city-thunder-vs-indiana-pacers/1617155567/,1.512,2.63,-5.0,1.9,5.0,1.952,235.5,1.917,235.5,1.934,2025-10-11 19:46:55
Oklahoma City Thunder,Indiana Pacers,https://www.pinnacle.com/en/basketball/nba-preseason/oklahoma-city-thunder-vs-indiana-pacers/1617155567/,1.507,2.64,-5.0,1.892,5.0,1.961,235.5,1.917,235.5,1.934,2025-10-11 19:55:24
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.478,2.73,-5.0,1.909,5.0,1.943,237.0,1.884,237.0,1.97,2025-10-11 20:04:38
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.1,1.384,6.5,1.961,-6.5,1.892,226.5,1.9,226.5,1.943,2025-10-11 20:04:38
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.478,2.73,-5.0,1.909,5.0,1.943,237.0,1.884,237.0,1.97,2025-10-11 20:26:46
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.1,1.384,6.5,1.961,-6.5,1.892,226.5,1.9,226.5,1.943,2025-10-11 20:26:46
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.1,1.384,6.5,1.961,-6.5,1.892,226.5,1.9,226.5,1.943,2025-10-11 20:41:29
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.487,2.71,-5.0,1.917,5.0,1.934,237.0,1.884,237.0,1.97,2025-10-11 20:41:29
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.483,2.72,-5.0,1.909,5.0,1.943,237.0,1.854,237.0,2.0,2025-10-11 20:55:00
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.08,1.389,6.5,1.943,-6.5,1.909,226.5,1.9,226.5,1.952,2025-10-11 20:55:00
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.471,2.75,-5.0,1.9,5.0,1.952,237.0,1.892,237.0,1.961,2025-10-11 21:41:09
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.08,1.389,6.5,1.943,-6.5,1.909,226.5,1.9,226.5,1.952,2025-10-11 21:41:09
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.469,2.76,-5.0,1.884,5.0,1.961,237.0,1.892,237.0,1.961,2025-10-11 21:54:46
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.14,1.377,6.5,1.961,-6.5,1.892,226.5,1.847,226.5,2.01,2025-10-11 21:54:46
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.462,2.78,-5.0,1.862,5.0,1.99,237.0,1.892,237.0,1.961,2025-10-11 22:22:46
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.22,1.361,6.5,2.01,-6.5,1.854,226.5,1.854,226.5,2.0,2025-10-11 22:22:46
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.462,2.78,-5.0,1.862,5.0,1.99,237.0,1.892,237.0,1.961,2025-10-11 22:32:38
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.22,1.361,6.5,2.01,-6.5,1.854,226.5,1.854,226.5,2.0,2025-10-11 22:32:38
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.19,1.366,6.5,2.0,-6.5,1.862,227.5,1.943,227.5,1.909,2025-10-11 22:42:55
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.467,2.77,-5.0,1.869,5.0,1.99,237.0,1.909,237.0,1.943,2025-10-11 22:42:55
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.469,2.76,-5.0,1.869,5.0,1.99,237.0,1.934,237.0,1.917,2025-10-11 22:55:18
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.2,1.364,6.5,2.0,-6.5,1.854,227.5,1.917,227.5,1.934,2025-10-11 22:55:18
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.469,2.76,-5.0,1.869,5.0,1.99,237.0,1.934,237.0,1.917,2025-10-11 23:04:41
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.2,1.364,6.5,2.0,-6.5,1.854,227.5,1.917,227.5,1.934,2025-10-11 23:04:41
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.48,2.73,-5.0,1.892,5.0,1.961,237.0,1.9,237.0,1.952,2025-10-11 23:22:54
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.2,1.364,6.5,2.0,-6.5,1.854,227.5,1.917,227.5,1.934,2025-10-11 23:22:54
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.478,2.73,-5.0,1.892,5.0,1.961,237.0,1.934,237.0,1.917,2025-10-11 23:28:07
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.2,1.364,6.5,2.0,-6.5,1.854,227.5,1.917,227.5,1.934,2025-10-11 23:28:07
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.24,1.357,6.5,2.02,-6.5,1.84,227.5,1.917,227.5,1.934,2025-10-11 23:41:44
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.478,2.73,-5.0,1.892,5.0,1.961,237.0,1.917,237.0,1.934,2025-10-11 23:41:44
Atlanta Hawks,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/atlanta-hawks-vs-memphis-grizzlies/1617061129/,1.427,2.92,-6.0,1.909,6.0,1.934,238.0,1.952,238.0,1.9,2025-10-11 23:54:58
Charlotte Hornets,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-dallas-mavericks/1617155584/,3.24,1.357,7.0,1.934,-7.0,1.917,227.5,1.925,227.5,1.925,2025-10-11 23:54:58
Toronto Raptors,Washington Wizards,https://www.pinnacle.com/en/basketball/nba-preseason/toronto-raptors-vs-washington-wizards/1617194123/,1.54,2.55,-4.5,1.884,4.5,1.961,232.5,1.925,232.5,1.925,2025-10-12 18:32:30
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,3.04,1.375,6.5,1.862,-6.5,1.961,218.5,1.84,218.5,1.98,2025-10-12 18:32:30
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.71,1.462,4.5,1.917,-4.5,1.9,231.0,1.877,231.0,1.934,2025-10-12 18:32:30
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.961,1.854,1.0,1.925,-1.0,1.892,234.5,1.917,234.5,1.9,2025-10-12 18:32:30
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.71,1.462,4.5,1.917,-4.5,1.9,231.0,1.877,231.0,1.934,2025-10-12 18:55:02
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.961,1.854,1.0,1.925,-1.0,1.892,234.5,1.917,234.5,1.9,2025-10-12 18:55:02
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,3.03,1.378,6.5,1.862,-6.5,1.961,218.5,1.854,218.5,1.97,2025-10-12 18:55:02
Toronto Raptors,Washington Wizards,https://www.pinnacle.com/en/basketball/nba-preseason/toronto-raptors-vs-washington-wizards/1617194123/,1.534,2.57,-4.5,1.877,4.5,1.98,232.5,1.934,232.5,1.917,2025-10-12 18:55:02
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.95,1.396,6.5,1.84,-6.5,1.99,218.5,1.84,218.5,1.98,2025-10-12 19:41:04
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.64,1.485,4.5,1.884,-4.5,1.934,231.0,1.884,231.0,1.934,2025-10-12 19:41:04
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.961,1.854,1.0,1.925,-1.0,1.892,234.5,1.917,234.5,1.9,2025-10-12 19:41:04
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.95,1.396,6.5,1.84,-6.5,1.99,218.5,1.84,218.5,1.98,2025-10-12 19:47:41
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.64,1.485,4.5,1.884,-4.5,1.934,231.0,1.884,231.0,1.934,2025-10-12 19:47:41
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.961,1.854,1.0,1.925,-1.0,1.892,234.5,1.917,234.5,1.9,2025-10-12 19:47:41
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.64,1.485,4.5,1.884,-4.5,1.934,231.0,1.884,231.0,1.934,2025-10-12 19:55:04
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.952,1.869,1.0,1.909,-1.0,1.909,234.5,1.917,234.5,1.9,2025-10-12 19:55:04
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.96,1.393,6.5,1.847,-6.5,1.97,218.5,1.847,218.5,1.97,2025-10-12 19:55:04
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.99,1.387,6.5,1.869,-6.5,1.952,218.5,1.847,218.5,1.97,2025-10-12 20:04:07
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.952,1.869,1.0,1.909,-1.0,1.909,234.5,1.917,234.5,1.9,2025-10-12 20:04:07
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.64,1.485,4.5,1.884,-4.5,1.934,231.0,1.884,231.0,1.934,2025-10-12 20:04:07
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.99,1.387,6.5,1.869,-6.5,1.952,220.0,1.934,220.0,1.884,2025-10-12 20:27:01
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.952,1.869,1.0,1.909,-1.0,1.909,234.5,1.917,234.5,1.9,2025-10-12 20:27:01
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.64,1.485,4.5,1.884,-4.5,1.934,231.0,1.884,231.0,1.934,2025-10-12 20:27:01
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.952,1.869,1.0,1.909,-1.0,1.909,234.5,1.917,234.5,1.9,2025-10-12 20:35:02
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.64,1.485,4.5,1.884,-4.5,1.934,231.0,1.884,231.0,1.934,2025-10-12 20:35:02
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.99,1.387,6.5,1.869,-6.5,1.952,220.0,1.934,220.0,1.884,2025-10-12 20:35:02
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.48,1.543,4.5,1.847,-4.5,1.97,220.0,1.97,220.0,1.854,2025-10-12 20:42:40
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.64,1.485,4.5,1.884,-4.5,1.934,231.0,1.884,231.0,1.934,2025-10-12 20:42:40
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.961,1.854,1.0,1.925,-1.0,1.892,234.5,1.909,234.5,1.909,2025-10-12 20:42:40
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.22,1.671,2.5,1.917,-2.5,1.9,219.0,1.884,219.0,1.934,2025-10-12 20:54:07
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.64,1.485,4.5,1.884,-4.5,1.934,231.0,1.884,231.0,1.934,2025-10-12 20:54:07
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.99,1.833,1.0,1.952,-1.0,1.869,234.5,1.909,234.5,1.909,2025-10-12 20:54:07
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.99,1.833,1.0,1.952,-1.0,1.869,234.5,1.909,234.5,1.909,2025-10-12 21:21:58
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.61,1.495,4.5,1.884,-4.5,1.934,231.0,1.862,231.0,1.952,2025-10-12 21:21:58
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.24,1.662,2.5,1.934,-2.5,1.884,219.0,1.884,219.0,1.934,2025-10-12 21:21:58
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.24,1.662,2.5,1.934,-2.5,1.884,219.0,1.943,219.0,1.877,2025-10-12 21:41:14
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.63,1.487,4.5,1.9,-4.5,1.917,231.0,1.862,231.0,1.952,2025-10-12 21:41:14
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.99,1.833,1.0,1.952,-1.0,1.869,234.5,1.909,234.5,1.909,2025-10-12 21:41:14
Miami Heat,Orlando Magic,https://www.pinnacle.com/en/basketball/nba-preseason/miami-heat-vs-orlando-magic/1617193992/,2.24,1.662,2.5,1.934,-2.5,1.884,219.0,1.943,219.0,1.877,2025-10-12 21:55:05
Cleveland Cavaliers,Boston Celtics,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-boston-celtics/1617193885/,2.63,1.487,4.5,1.9,-4.5,1.917,231.0,1.862,231.0,1.952,2025-10-12 21:55:05
Milwaukee Bucks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/milwaukee-bucks-vs-chicago-bulls/1617193886/,1.99,1.833,1.0,1.952,-1.0,1.869,234.5,1.909,234.5,1.909,2025-10-12 21:55:05
Denver Nuggets,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/denver-nuggets-vs-los-angeles-clippers/1617193899/,2.42,1.571,3.5,1.917,-3.5,1.9,227.5,1.862,227.5,1.952,2025-10-12 22:34:03
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba-preseason/golden-state-warriors-vs-los-angeles-lakers/1617065163/,2.39,1.581,4.0,1.909,-4.0,1.909,219.5,1.854,219.5,1.97,2025-10-12 22:34:03
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba-preseason/golden-state-warriors-vs-los-angeles-lakers/1617065163/,2.39,1.581,4.0,1.909,-4.0,1.909,219.5,1.854,219.5,1.97,2025-10-12 22:42:28
Denver Nuggets,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/denver-nuggets-vs-los-angeles-clippers/1617193899/,2.42,1.571,3.5,1.917,-3.5,1.9,227.5,1.862,227.5,1.952,2025-10-12 22:42:28
Denver Nuggets,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/denver-nuggets-vs-los-angeles-clippers/1617193899/,2.37,1.595,3.5,1.892,-3.5,1.925,227.5,1.862,227.5,1.952,2025-10-12 22:48:12
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba-preseason/golden-state-warriors-vs-los-angeles-lakers/1617065163/,2.39,1.581,4.0,1.909,-4.0,1.909,219.5,1.854,219.5,1.97,2025-10-12 22:48:12
Denver Nuggets,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/denver-nuggets-vs-los-angeles-clippers/1617193899/,2.35,1.602,3.5,1.877,-3.5,1.943,227.5,1.862,227.5,1.952,2025-10-12 22:55:19
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba-preseason/golden-state-warriors-vs-los-angeles-lakers/1617065163/,2.36,1.598,4.0,1.884,-4.0,1.934,219.5,1.854,219.5,1.97,2025-10-12 22:55:19
