team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Toronto Raptors,Sacramento Kings,https://www.pinnacle.com/en/basketball/nba-preseason/toronto-raptors-vs-sacramento-kings/1617053918/,2.01,1.847,1.5,1.917,-1.5,1.934,225.0,1.943,225.0,1.909,2025-10-08 23:55:07
Boston Celtics,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-memphis-grizzlies/1617052366/,1.694,2.23,-2.5,1.9,2.5,1.952,232.5,1.884,232.5,1.961,2025-10-08 23:55:07
Utah Jazz,Houston Rockets,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-houston-rockets/1617053920/,4.66,1.196,10.5,1.934,-10.5,1.917,224.5,1.854,224.5,2.0,2025-10-08 23:55:07
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.55,1.54,4.5,1.9,-4.5,1.952,223.5,1.9,223.5,1.952,2025-10-09 17:27:10
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.55,1.54,4.5,1.9,-4.5,1.952,223.5,1.9,223.5,1.952,2025-10-09 17:42:58
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.55,1.54,4.5,1.9,-4.5,1.952,223.5,1.9,223.5,1.952,2025-10-09 17:57:41
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.51,1.555,4.5,1.862,-4.5,1.99,223.5,1.877,223.5,1.97,2025-10-09 18:37:05
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.51,1.555,4.5,1.862,-4.5,1.99,223.5,1.877,223.5,1.97,2025-10-09 18:56:55
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.48,1.568,4.5,1.854,-4.5,2.0,224.5,1.934,224.5,1.917,2025-10-09 19:41:41
Minnesota Timberwolves,New York Knicks,https://www.pinnacle.com/en/basketball/nba-preseason/minnesota-timberwolves-vs-new-york-knicks/1617084820/,2.48,1.568,4.5,1.854,-4.5,2.0,224.5,1.934,224.5,1.917,2025-10-09 19:55:41
