team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.74,2.23,-2.5,1.952,2.5,1.952,243.0,1.961,243.0,1.925,2025-10-27 19:55:09
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,9.2,1.095,15.5,2.02,-15.5,1.884,224.5,1.9,224.5,1.99,2025-10-27 19:55:09
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.813,2.11,-1.5,1.884,1.5,2.02,231.5,1.909,231.5,1.98,2025-10-27 19:55:09
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.66,1.543,4.5,1.98,-4.5,1.925,232.5,1.934,232.5,1.952,2025-10-27 19:55:09
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.746,2.22,-2.5,1.961,2.5,1.943,243.0,1.925,243.0,1.961,2025-10-27 20:28:22
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,9.2,1.095,15.5,2.02,-15.5,1.884,224.5,1.9,224.5,1.99,2025-10-27 20:28:22
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.63,1.552,4.5,1.961,-4.5,1.943,232.5,1.934,232.5,1.952,2025-10-27 20:28:22
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.8,2.14,-2.0,1.952,2.0,1.952,231.5,1.909,231.5,1.97,2025-10-27 20:28:22
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.291,4.0,-8.5,1.925,8.5,1.98,226.5,1.943,226.5,1.943,2025-10-27 20:28:22
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.06,1.854,1.0,2.0,-1.0,1.909,230.5,1.961,230.5,1.909,2025-10-27 20:28:22
Denver Nuggets,Minnesota Timberwolves,https://www.pinnacle.com/en/basketball/nba/denver-nuggets-vs-minnesota-timberwolves/1617904472/,1.431,3.07,-6.5,1.943,6.5,1.961,229.5,1.917,229.5,1.97,2025-10-27 20:28:22
Memphis Grizzlies,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba/memphis-grizzlies-vs-golden-state-warriors/1617900228/,3.77,1.317,8.0,1.952,-8.0,1.952,239.5,1.97,239.5,1.917,2025-10-27 20:28:22
Memphis Grizzlies,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba/memphis-grizzlies-vs-golden-state-warriors/1617900228/,3.77,1.317,8.0,1.952,-8.0,1.952,239.5,1.97,239.5,1.917,2025-10-27 20:35:00
Denver Nuggets,Minnesota Timberwolves,https://www.pinnacle.com/en/basketball/nba/denver-nuggets-vs-minnesota-timberwolves/1617904472/,1.427,3.09,-6.5,1.934,6.5,1.97,229.5,1.909,229.5,1.98,2025-10-27 20:35:00
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.01,1.9,1.0,1.961,-1.0,1.943,230.5,1.961,230.5,1.909,2025-10-27 20:35:00
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.296,3.95,-8.5,1.943,8.5,1.961,226.5,1.943,226.5,1.943,2025-10-27 20:35:00
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.63,1.552,4.5,1.961,-4.5,1.943,232.5,1.934,232.5,1.952,2025-10-27 20:35:00
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,9.2,1.095,15.5,2.02,-15.5,1.884,224.5,1.9,224.5,1.99,2025-10-27 20:35:00
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.746,2.22,-2.5,1.961,2.5,1.943,243.0,1.925,243.0,1.961,2025-10-27 20:35:00
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.8,2.13,-2.0,1.952,2.0,1.952,231.5,1.909,231.5,1.97,2025-10-27 20:35:00
Portland Trail Blazers,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/portland-trail-blazers-vs-los-angeles-lakers/1617904479/,1.769,2.18,-2.5,1.943,2.5,1.961,226.0,1.869,226.0,2.02,2025-10-27 20:45:19
Memphis Grizzlies,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba/memphis-grizzlies-vs-golden-state-warriors/1617900228/,3.77,1.317,8.0,1.952,-8.0,1.952,239.5,1.97,239.5,1.917,2025-10-27 20:45:19
Denver Nuggets,Minnesota Timberwolves,https://www.pinnacle.com/en/basketball/nba/denver-nuggets-vs-minnesota-timberwolves/1617904472/,1.427,3.09,-6.5,1.934,6.5,1.97,229.5,1.909,229.5,1.98,2025-10-27 20:45:19
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.01,1.9,1.0,1.961,-1.0,1.943,230.5,1.961,230.5,1.909,2025-10-27 20:45:19
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.296,3.95,-8.5,1.943,8.5,1.961,226.5,1.943,226.5,1.943,2025-10-27 20:45:19
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.63,1.552,4.5,1.961,-4.5,1.943,232.5,1.934,232.5,1.952,2025-10-27 20:45:19
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,9.2,1.095,15.5,2.02,-15.5,1.884,224.5,1.9,224.5,1.99,2025-10-27 20:45:19
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.746,2.22,-2.5,1.961,2.5,1.943,243.0,1.925,243.0,1.961,2025-10-27 20:45:19
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.8,2.13,-2.0,1.952,2.0,1.952,231.5,1.909,231.5,1.97,2025-10-27 20:45:19
Portland Trail Blazers,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/portland-trail-blazers-vs-los-angeles-lakers/1617904479/,1.729,2.24,-2.5,1.892,2.5,2.01,226.0,1.869,226.0,2.02,2025-10-27 20:57:50
Memphis Grizzlies,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba/memphis-grizzlies-vs-golden-state-warriors/1617900228/,3.77,1.317,8.0,1.952,-8.0,1.952,239.5,1.97,239.5,1.917,2025-10-27 20:57:50
Denver Nuggets,Minnesota Timberwolves,https://www.pinnacle.com/en/basketball/nba/denver-nuggets-vs-minnesota-timberwolves/1617904472/,1.427,3.09,-6.5,1.934,6.5,1.97,229.5,1.909,229.5,1.98,2025-10-27 20:57:50
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.298,3.93,-8.5,1.952,8.5,1.952,226.5,1.943,226.5,1.943,2025-10-27 20:57:50
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.01,1.9,1.0,1.961,-1.0,1.943,230.5,1.961,230.5,1.909,2025-10-27 20:57:50
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.63,1.552,4.5,1.961,-4.5,1.943,232.5,1.934,232.5,1.952,2025-10-27 20:57:50
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.751,2.2,-2.5,1.97,2.5,1.934,243.0,1.934,243.0,1.952,2025-10-27 20:57:50
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.8,2.13,-2.0,1.952,2.0,1.952,231.5,1.909,231.5,1.97,2025-10-27 20:57:50
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,9.2,1.095,15.5,2.02,-15.5,1.884,224.5,1.9,224.5,1.99,2025-10-27 20:57:50
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.751,2.2,-2.5,1.97,2.5,1.934,243.0,1.934,243.0,1.952,2025-10-27 21:03:48
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,9.2,1.095,15.5,2.02,-15.5,1.884,224.5,1.9,224.5,1.99,2025-10-27 21:03:48
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.63,1.552,4.5,1.961,-4.5,1.943,232.5,1.934,232.5,1.952,2025-10-27 21:03:48
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.8,2.13,-2.0,1.952,2.0,1.952,231.5,1.909,231.5,1.97,2025-10-27 21:03:48
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.01,1.9,1.0,1.961,-1.0,1.943,230.5,1.961,230.5,1.909,2025-10-27 21:03:48
Denver Nuggets,Minnesota Timberwolves,https://www.pinnacle.com/en/basketball/nba/denver-nuggets-vs-minnesota-timberwolves/1617904472/,1.427,3.09,-6.5,1.934,6.5,1.97,229.5,1.909,229.5,1.98,2025-10-27 21:03:48
Memphis Grizzlies,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba/memphis-grizzlies-vs-golden-state-warriors/1617900228/,3.77,1.317,8.0,1.952,-8.0,1.952,239.5,1.97,239.5,1.917,2025-10-27 21:03:48
Portland Trail Blazers,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/portland-trail-blazers-vs-los-angeles-lakers/1617904479/,1.729,2.24,-2.5,1.892,2.5,2.01,226.0,1.869,226.0,2.02,2025-10-27 21:03:48
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.298,3.93,-8.5,1.952,8.5,1.952,226.5,1.943,226.5,1.943,2025-10-27 21:03:48
Portland Trail Blazers,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/portland-trail-blazers-vs-los-angeles-lakers/1617904479/,1.729,2.24,-3.0,1.952,3.0,1.952,226.0,1.877,226.0,2.01,2025-10-27 21:25:43
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.01,1.9,1.0,1.952,-1.0,1.952,230.5,1.961,230.5,1.909,2025-10-27 21:25:43
Memphis Grizzlies,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba/memphis-grizzlies-vs-golden-state-warriors/1617900228/,3.94,1.297,8.0,2.02,-8.0,1.884,239.5,1.961,239.5,1.925,2025-10-27 21:25:43
Denver Nuggets,Minnesota Timberwolves,https://www.pinnacle.com/en/basketball/nba/denver-nuggets-vs-minnesota-timberwolves/1617904472/,1.425,3.09,-6.5,1.934,6.5,1.97,229.5,1.934,229.5,1.952,2025-10-27 21:25:43
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.291,4.0,-8.5,1.925,8.5,1.98,226.5,1.943,226.5,1.943,2025-10-27 21:25:43
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.59,1.564,4.5,1.934,-4.5,1.97,232.5,1.934,232.5,1.952,2025-10-27 21:25:43
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,9.06,1.097,16.0,1.98,-16.0,1.925,224.5,1.9,224.5,1.99,2025-10-27 21:25:43
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.746,2.21,-2.5,1.961,2.5,1.943,243.0,1.934,243.0,1.952,2025-10-27 21:25:43
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.793,2.14,-2.0,1.943,2.0,1.961,231.5,1.909,231.5,1.97,2025-10-27 21:25:43
